NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_VANS_KOMBI|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_BICICLETA|IN_TRANSP_TR_ANIMAL|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|IN_TRANSP_TREM_METRO|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SINDROME_ASPERGER|IN_SINDROME_RETT|IN_TRANSTORNO_DI|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_BRAILLE|IN_RECURSO_AMPLIADA_16|IN_RECURSO_AMPLIADA_20|IN_RECURSO_AMPLIADA_24|IN_RECURSO_NENHUM|TP_INGRESSO_FEDERAIS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_UNIFICADA|TP_TIPO_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2018|33E61A971EB89861CB5440856EEE700F|298372282|27|7|2002|15|16|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|12983405||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|1ADB7A603D40D6E70F82B6885EF411A3|303902415|6|7|2002|15|16|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230238||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|A10A84D1B13F3E656208E700952DF5AD|303902426|11|10|1999|18|19|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230241||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|8B95F6BC0DBA5FC7E70F83C5EB87D19C|303896177|22|9|1995|22|23|210|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13229964||0|0|31361461|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|69C203F3CF3003D5795979E37FAA8AFE|296367409|11|1|2003|15|15|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|12908019||0|0|31338770|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|100A8F346B9F94D33616B807541F50F6|303902751|26|3|1988|30|30|260|0|0|0|0|5|1|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230282||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|03D09CAE3EABC961EF067E03D8BDB18E|303903623|4|1|2000|18|18|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230325||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|E71475F84E9B6063CD1D3A776715D5A4|298372253|16|1|2001|17|17|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|12983423||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|5FC4E8AD1084CCCE0EDEA93B8CD70B7B|303902866|1|9|1986|31|32|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230301||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|71186A6D717B56C62AE8EB4995F39D57|303896133|27|4|2001|17|17|210|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13229964||0|0|31361461|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|DC8793665EEF1D6D2525A296A92D8FF5|298372298|7|12|1999|18|19|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|12983405||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|D9D71AFB95A2CB56FB8343A97CE67137|303882744|27|5|2002|16|16|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13229503||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|18478954AB7D235800FB5F340F5E935D|298372710|12|11|2002|15|16|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3139300|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|12983405||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|371A175C2EB364357E4B301044B16063|306469893|11|6|2000|17|18|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13349172||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|FBCD53AB506AABEE33AB8EB57B58D942|304030783|20|2|2002|16|16|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13234799||0|0|31338745|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|90E4E6C53FB1728BF41B27F6071C3203|303902435|27|9|2001|16|17|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230238||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|21B97DC9691C7B5511DB660B89EDC39C|306469937|14|9|2002|15|16|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13349173||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|DB7264447F4AE277224255053BE13B64|303903162|13|6|2003|14|15|260|0|0|0|0|5|2|5|1|76|31|3132107|31|3132107|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13230284||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|83979EFDC238E6DC748759D0C29AC6D2|304024840|20|11|2002|15|16|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13232799||0|0|31297518|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|6AAAC2DA69351EC117AFE4DD899BC9AB|303896154|26|3|2003|15|15|210|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13229964||0|0|31361461|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|5B383276EDF2143CC77DB9BE84E43673|303902617|11|8|2002|15|16|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230282||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|65C7C562CD3BA27A5622BF9B409D9DB1|304024873|29|1|2002|16|16|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13232799||0|0|31297518|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|424AA96D17A5E60C75938B81F6FB5DFB|303902414|24|3|2003|15|15|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230238||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|86FAAFDB8DD7A6A7D464604CD97C89FF|304030754|20|7|1999|18|19|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13234799||0|0|31338745|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|F0C51A5FB654BD5AFFB2E4C2DE42451E|304030770|21|11|2002|15|16|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13234799||0|0|31338745|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|F00282160C3A537B8AECCA93EAC7B6E8|303902390|6|2|2001|17|17|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13230238||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|A5D1A528288173C865F8A9A627A0EA8B|303902343|20|12|1992|25|26|260|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230282||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|0FED0996E46E419E38B40F0174C4272B|303902359|1|6|1998|19|20|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13230282||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|5EDC12E43FF4E2710FC6972B358C01FB|303902376|5|5|2002|16|16|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|1|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13230238||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|9AAAE10AEB76C893E616AC406661576B|327330160|25|1|1987|31|31|260|0|0|0|0|5|1|0|1|76|31|3132107|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|25|13230282||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|01C13DCDE37232646A183CE0164AF408|303896456|6|7|2000|17|18|210|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|25|13229964||0|0|31361461|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
